------------Results of Re-Weighted Random Walk------------

#sample mean_biased_deg mean_rw_deg     std_biased_deg  std_rw_deg      real_avg_deg    mean_biased_inc mean_rw_inc     std_biased_inc  std_rw_inc      real_avg_inc
100,11.5630000,4.6932968,1.0457222,0.6485601,4.7260410,4468.2000000,4453.4397103,279.6763129,338.5645631,4451.8854057,
200,11.6511750,4.7291031,0.9597881,0.5640142,4.7260410,4456.4225000,4469.6630326,243.8392047,310.6725082,4451.8854057,
300,11.5810500,4.7275091,1.0559914,0.5539536,4.7260410,4467.4527778,4476.7918640,277.3424549,334.2758158,4451.8854057,
500,11.5658625,4.7156764,0.9440670,0.5004849,4.7260410,4470.3695833,4475.5466184,247.7663089,301.9042914,4451.8854057,
700,11.5614586,4.7140941,0.8696341,0.4639716,4.7260410,4464.9013810,4467.3163329,227.2745382,277.7726410,4451.8854057,
1000,11.5616171,4.7193726,0.8020903,0.4322117,4.7260410,4461.9811508,4466.1385324,210.4574415,259.0175062,4451.8854057,
2000,11.5625668,4.7219192,0.7479191,0.4041255,4.7260410,4460.5700578,4463.8910865,196.0993520,242.2374216,4451.8854057,
4000,11.5685254,4.7233105,0.7019143,0.3800029,4.7260410,4459.3765193,4462.3031739,184.0399354,227.9874763,4451.8854057,
7000,11.5724746,4.7237123,0.6632135,0.3591531,4.7260410,4459.1125569,4461.4637590,173.8290987,215.3911995,4451.8854057,
10000,11.5767609,4.7248325,0.6303519,0.3414932,4.7260410,4458.7791412,4460.5827888,165.1017085,204.7444733,4451.8854057,

------------Results of Metropolis-Hasting Random Walk------------

#sample mean_deg_wd     mean_deg_wod    std_deg_wd      std_deg_wod     real_avg_deg    mean_inc_wd     mean_inc_wod    std_inc_wd      std_inc_wod     real_avg_inc
100,4.8212000,9.3558084,1.3275506,1.6312284,4.7260410,4457.8000000,4453.7976640,710.1076397,390.5240664,4451.8854057,
200,4.7793250,9.5034832,1.1353250,1.4344435,4.7260410,4464.3325000,4469.6204591,610.3669230,328.4043406,4451.8854057,
300,4.7334833,9.5784945,1.0346750,1.2959881,4.7260410,4487.0116667,4472.7993336,586.8485494,302.2625717,4451.8854057,
500,4.7153275,9.6125025,0.9561954,1.2132027,4.7260410,4466.9792500,4465.1050961,541.5204943,282.6214687,4451.8854057,
700,4.7180420,9.6508803,0.8978030,1.1207595,4.7260410,4465.4434000,4459.7873751,505.6528962,261.2967294,4451.8854057,
1000,4.7217400,9.6874330,0.8453291,1.0469326,4.7260410,4459.0046667,4457.9573337,473.4408871,243.9968890,4451.8854057,
2000,4.7246600,9.7128835,0.7950536,0.9813331,4.7260410,4457.6840714,4456.4347551,444.3573187,228.3247422,4451.8854057,
4000,4.7257578,9.7286277,0.7479672,0.9231106,4.7260410,4459.2833125,4455.2422137,418.6165260,215.1559267,4451.8854057,
7000,4.7271196,9.7401359,0.7073876,0.8729862,4.7260410,4459.8057063,4454.2938760,396.3053916,203.4650263,4451.8854057,
10000,4.7279804,9.7447821,0.6727010,0.8295554,4.7260410,4459.3789257,4454.3163384,376.8738686,193.4169591,4451.8854057,
